Year,Country of Origin (ISO),Country of Origin,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2017,IRQ,Iraq,NOR,Norway,8
2017,SYR,Syrian Arab Rep.,PRT,Portugal,221
2017,COD,Dem. Rep. of the Congo,SWE,Sweden,888
2017,All others,All others,SWE,Sweden,617
2017,IRN,Iran (Islamic Rep. of),NZL,New Zealand,10
2017,SYR,Syrian Arab Rep.,ESP,Spain,1369
2017,AFG,Afghanistan,NLD,Netherlands,1
2017,MMR,Myanmar,NOR,Norway,5
2017,All others,All others,BRA,Brazil,2
2017,ERI,Eritrea,ITA,Italy,270
2017,SOM,Somalia,GBR,United Kingdom of Great Britain and Northern Ireland,267
2017,SOM,Somalia,NLD,Netherlands,7
2017,IRQ,Iraq,GBR,United Kingdom of Great Britain and Northern Ireland,650
2017,SYR,Syrian Arab Rep.,LTU,Lithuania,191
2017,COD,Dem. Rep. of the Congo,CAN,Canada,128
2017,SDN,Sudan,FIN,Finland,20
2017,All others,All others,ISL,Iceland,14
2017,IRN,Iran (Islamic Rep. of),DEU,Germany,4
2017,SYR,Syrian Arab Rep.,AUT,Austria,253
2017,IRQ,Iraq,NZL,New Zealand,53
2017,SYR,Syrian Arab Rep.,ROU,Romania,48
2017,COD,Dem. Rep. of the Congo,USA,United States of America,9759
2017,SDN,Sudan,SWE,Sweden,177
2017,All others,All others,URY,Uruguay,16
2017,IRN,Iran (Islamic Rep. of),SWE,Sweden,5
2017,SYR,Syrian Arab Rep.,EST,Estonia,143
2017,AFG,Afghanistan,NOR,Norway,3
2017,MMR,Myanmar,NZL,New Zealand,177
2017,All others,All others,CAN,Canada,909
2017,ERI,Eritrea,NLD,Netherlands,2
